cue_index,memory_seed,target,rho,mask_index,method,alpha,category,converged,convergence_step,stable,stability_radius,final_top_memory,final_max_weight,final_ipr,final_support_size,level,target_ipr
58.0,0.0,58.0,0.1,0.0,softmax,5.0,stable_mixture,True,13,True,0.1579734893787067,35,0.0114272038220709,99.72074913727263,100,middle,8.707332297366008
59.0,0.0,59.0,0.1,0.0,softmax,5.0,stable_mixture,True,14,True,0.1579734893787067,35,0.0114272038220709,99.72074913727263,100,middle,8.707332297366008
61.0,0.0,61.0,0.1,0.0,softmax,5.0,stable_mixture,True,14,True,0.1579734893787067,35,0.0114272038220709,99.72074913727263,100,middle,8.707332297366008
65.0,0.0,65.0,0.1,0.0,softmax,5.0,stable_mixture,True,13,True,0.1579734893787067,35,0.0114272038220709,99.72074913727263,100,middle,8.707332297366008
70.0,0.0,70.0,0.1,0.0,softmax,5.0,stable_mixture,True,13,True,0.1579734893787067,35,0.0114272038220709,99.72074913727263,100,middle,8.707332297366008
76.0,0.0,76.0,0.1,0.0,softmax,5.0,stable_mixture,True,13,True,0.1579734893787067,35,0.0114272038220709,99.72074913727263,100,middle,8.707332297366008
78.0,0.0,78.0,0.1,0.0,softmax,5.0,stable_mixture,True,13,True,0.1579734893787068,35,0.0114272038220709,99.72074913727263,100,middle,8.707332297366008
82.0,0.0,82.0,0.1,0.0,softmax,5.0,stable_mixture,True,13,True,0.1579734893787067,35,0.0114272038220709,99.72074913727263,100,middle,8.707332297366008
84.0,0.0,84.0,0.1,0.0,softmax,5.0,stable_mixture,True,13,True,0.1579734893787068,35,0.0114272038220709,99.72074913727263,100,middle,8.707332297366008
88.0,0.0,88.0,0.1,0.0,softmax,5.0,stable_mixture,True,13,True,0.1579734893787067,35,0.0114272038220709,99.72074913727263,100,middle,8.707332297366008
89.0,0.0,89.0,0.1,0.0,softmax,5.0,stable_mixture,True,13,True,0.1579734893787067,35,0.0114272038220709,99.72074913727263,100,middle,8.707332297366008
90.0,0.0,90.0,0.1,0.0,softmax,5.0,stable_mixture,True,14,True,0.1579734893787069,35,0.0114272038220709,99.72074913727263,100,middle,8.707332297366008
94.0,0.0,94.0,0.1,0.0,softmax,5.0,stable_mixture,True,13,True,0.1579734893787067,35,0.0114272038220709,99.72074913727263,100,middle,8.707332297366008
98.0,0.0,98.0,0.1,0.0,softmax,5.0,stable_mixture,True,13,True,0.1579734893787067,35,0.0114272038220709,99.72074913727263,100,middle,8.707332297366008
5.0,0.0,5.0,0.1,0.0,sparsemax,0.4,unconverged_or_unstable,False,-1,True,0.9460733553640344,35,0.0535527617988948,40.14265887320059,58,middle,8.707332297366008
8.0,0.0,8.0,0.1,0.0,sparsemax,0.4,unconverged_or_unstable,False,-1,False,1.0012879807686383,35,0.0543471557262488,40.44101197049272,59,middle,8.707332297366008
10.0,0.0,10.0,0.1,0.0,sparsemax,0.4,unconverged_or_unstable,False,-1,True,0.9394257518906288,35,0.0518718832275357,39.416750622987834,56,middle,8.707332297366008
12.0,0.0,12.0,0.1,0.0,sparsemax,0.4,unconverged_or_unstable,False,-1,False,1.0515842546196827,35,0.0566510719313508,40.13245630522895,62,middle,8.707332297366008
13.0,0.0,13.0,0.1,0.0,sparsemax,0.4,unconverged_or_unstable,False,-1,True,0.9394257518906288,35,0.0518346606805489,39.39742477466297,56,middle,8.707332297366008
14.0,0.0,14.0,0.1,0.0,sparsemax,0.4,unconverged_or_unstable,False,-1,True,0.9460733553640344,35,0.0533376815072679,40.104724890513275,58,middle,8.707332297366008
16.0,0.0,16.0,0.1,0.0,sparsemax,0.4,unconverged_or_unstable,False,-1,True,0.9394257518906288,35,0.0517825135728969,39.43548767836053,56,middle,8.707332297366008
17.0,0.0,17.0,0.1,0.0,sparsemax,0.4,unconverged_or_unstable,False,-1,True,0.9711061578065762,35,0.05610527414623,40.96478496565451,58,middle,8.707332297366008
18.0,0.0,18.0,0.1,0.0,sparsemax,0.4,unconverged_or_unstable,False,-1,False,1.0012879807686383,35,0.0541244426363468,40.37151172404128,59,middle,8.707332297366008
