condition_index,condition_id,seed,delta,v_index,v,true_boundary_u,true_normal_u,true_normal_v,sign_transitions
26,delta+0.15_seed002,2,0.15,7,0.0499999999999999,0.5279575925524114,0.9990861167384144,-0.0427426173807289,1
26,delta+0.15_seed002,2,0.15,8,0.0999999999999999,0.530957266499172,0.9977086815507724,-0.067656387416262,1
26,delta+0.15_seed002,2,0.15,9,0.1499999999999999,0.5347387691290351,0.9968523563767492,-0.079280385885303,1
26,delta+0.15_seed002,2,0.15,10,0.1999999999999999,0.5389103385241469,0.9963445443746936,-0.0854256922405899,1
26,delta+0.15_seed002,2,0.15,11,0.2499999999999999,0.5433126799034653,0.9960822683743648,-0.0884314120105525,1
26,delta+0.15_seed002,2,0.15,12,0.3,0.5477882610430242,0.996017749111226,-0.0891551650517626,1
27,delta+0.15_seed003,3,0.15,0,-0.3,0.5471686793753179,0.9969678977041972,0.0778139508524884,1
27,delta+0.15_seed003,3,0.15,1,-0.25,0.5432661489612656,0.9969197082937448,0.0784289182350144,1
27,delta+0.15_seed003,3,0.15,2,-0.2,0.539301554512349,0.9968649939925208,0.0791213229938147,1
27,delta+0.15_seed003,3,0.15,3,-0.15,0.5353291340725264,0.9969245624465164,0.0783671920565115,1
27,delta+0.15_seed003,3,0.15,4,-0.1,0.5314406596153276,0.9974053365922048,0.0719902391813696,1
27,delta+0.15_seed003,3,0.15,5,-0.05,0.5281113825185457,0.9988682991494886,0.0475617593682936,1
27,delta+0.15_seed003,3,0.15,6,0.0,0.5266790950117866,0.9999998515236542,0.0005449336377203,1
27,delta+0.15_seed003,3,0.15,7,0.0499999999999999,0.5280568891466828,0.9988838714889337,-0.0472335821135736,1
27,delta+0.15_seed003,3,0.15,8,0.0999999999999999,0.5314077309885761,0.9968838703312024,-0.0788831355454535,1
27,delta+0.15_seed003,3,0.15,9,0.1499999999999999,0.5359698605461745,0.9950264046166196,-0.099611515979444,1
27,delta+0.15_seed003,3,0.15,10,0.1999999999999999,0.5414186729612993,0.9934036963483692,-0.1146695080716648,1
27,delta+0.15_seed003,3,0.15,11,0.2499999999999999,0.5475129530968843,0.9921393317303726,-0.1251381094375708,1
27,delta+0.15_seed003,3,0.15,12,0.3,0.5540316301776329,0.9916081978046304,-0.1292794726422293,1
28,delta+0.15_seed004,4,0.15,0,-0.3,0.5494611383037409,0.995000616008651,0.0998687846246517,1
28,delta+0.15_seed004,4,0.15,1,-0.25,0.544442609520047,0.9951878749035022,0.0979851705364178,1
28,delta+0.15_seed004,4,0.15,2,-0.2,0.5396152415632969,0.9956895043951498,0.0927491824079379,1
28,delta+0.15_seed004,4,0.15,3,-0.15,0.5351275387074566,0.9964462547995,0.0842309996144545,1
28,delta+0.15_seed004,4,0.15,4,-0.1,0.5311621012951946,0.9975027086432318,0.0706282255859223,1
28,delta+0.15_seed004,4,0.15,5,-0.05,0.5280470340658212,0.9989966448382526,0.0447850823591333,1
28,delta+0.15_seed004,4,0.15,6,0.0,0.5266790950117866,0.9999956441640226,-0.0029515509450877,1
28,delta+0.15_seed004,4,0.15,7,0.0499999999999999,0.5283421904459829,0.9981101394557628,-0.0614503825504559,1
28,delta+0.15_seed004,4,0.15,8,0.0999999999999999,0.5328357685211813,0.9945434374698934,-0.1043233003004042,1
28,delta+0.15_seed004,4,0.15,9,0.1499999999999999,0.538831757454318,0.992311920044502,-0.1237620836023467,1
28,delta+0.15_seed004,4,0.15,10,0.1999999999999999,0.5453078633436235,0.991813999662618,-0.127690994487633,1
28,delta+0.15_seed004,4,0.15,11,0.2499999999999999,0.5517062474827981,0.99241505130801,-0.1229323632625685,1
28,delta+0.15_seed004,4,0.15,12,0.3,0.5576950558897806,0.99290310493187,-0.1189261292427015,1
29,delta+0.15_seed005,5,0.15,0,-0.3,0.5523211493127747,0.9934324538917492,0.1144201011825186,1
29,delta+0.15_seed005,5,0.15,1,-0.25,0.5465623228956247,0.9936586445363554,0.1124388640025006,1
29,delta+0.15_seed005,5,0.15,2,-0.2,0.5410055063985055,0.994338595541114,0.1062579757821724,1
29,delta+0.15_seed005,5,0.15,3,-0.15,0.5358760258677648,0.9954639039089144,0.0951399811563138,1
29,delta+0.15_seed005,5,0.15,4,-0.1,0.5314481552195502,0.996992527593623,0.0774977414024368,1
29,delta+0.15_seed005,5,0.15,5,-0.05,0.5281028741883347,0.9988647393921516,0.0476364608157326,1
29,delta+0.15_seed005,5,0.15,6,0.0,0.5266790950117866,0.9999944401885524,-0.0033346052215948,1
29,delta+0.15_seed005,5,0.15,7,0.0499999999999999,0.5284363365644822,0.9977334053692398,-0.0672908003392758,1
29,delta+0.15_seed005,5,0.15,8,0.0999999999999999,0.5334234617912443,0.992774297272108,-0.1199966444358848,1
29,delta+0.15_seed005,5,0.15,9,0.1499999999999999,0.5405233380879508,0.9885047827477048,-0.1511895978065721,1
29,delta+0.15_seed005,5,0.15,10,0.1999999999999999,0.5487182383512845,0.9860579284685222,-0.1664024089500107,1
29,delta+0.15_seed005,5,0.15,11,0.2499999999999999,0.5573988586984342,0.9850034643928322,-0.1725345621437008,1
29,delta+0.15_seed005,5,0.15,12,0.3,0.5662343759468058,0.9847431260302368,-0.1740142975051106,1
30,delta+0.15_seed006,6,0.15,0,-0.3,0.5670401718089124,0.983140453216354,0.1828519872726084,1
30,delta+0.15_seed006,6,0.15,1,-0.25,0.5577407890668837,0.9835219034346584,0.1807890081400582,1
30,delta+0.15_seed006,6,0.15,2,-0.2,0.5486583739548223,0.9850764322701174,0.1721174674051895,1
30,delta+0.15_seed006,6,0.15,3,-0.15,0.540268290307722,0.9883032959888006,0.1525011315947301,1
30,delta+0.15_seed006,6,0.15,4,-0.1,0.5332277736306423,0.9930379407684056,0.117794941293947,1
30,delta+0.15_seed006,6,0.15,5,-0.05,0.5284062116843415,0.9978626126357614,0.0653468155592328,1
30,delta+0.15_seed006,6,0.15,6,0.0,0.5266790950117866,0.9999993495094032,0.001140605440209,1
30,delta+0.15_seed006,6,0.15,7,0.0499999999999999,0.5282921510661254,0.99841571523826,-0.056267748891115,1
30,delta+0.15_seed006,6,0.15,8,0.0999999999999999,0.5323147984599927,0.9958741164612946,-0.0907454911410787,1
30,delta+0.15_seed006,6,0.15,9,0.1499999999999999,0.5374042958283098,0.994638829698905,-0.1034098566636299,1
30,delta+0.15_seed006,6,0.15,10,0.1999999999999999,0.5427115227357717,0.9945437753507206,-0.1043200791369299,1
30,delta+0.15_seed006,6,0.15,11,0.2499999999999999,0.5478935353894485,0.9949192081534122,-0.1006765575861006,1
30,delta+0.15_seed006,6,0.15,12,0.3,0.5528305913758231,0.9951604554991264,-0.0982632576845049,1
31,delta+0.15_seed007,7,0.15,0,-0.3,0.5649330419691978,0.982862207276674,0.1843417519370589,1
31,delta+0.15_seed007,7,0.15,1,-0.25,0.5555552395380801,0.983930727306222,0.1785506198887278,1
31,delta+0.15_seed007,7,0.15,2,-0.2,0.5467863762605703,0.9865189562523694,0.1636470254991993,1
31,delta+0.15_seed007,7,0.15,3,-0.15,0.5389669089781819,0.9900316456789344,0.1408450941788918,1
31,delta+0.15_seed007,7,0.15,4,-0.1,0.5325600538199069,0.9942770857579952,0.1068320023990388,1
31,delta+0.15_seed007,7,0.15,5,-0.05,0.528222217792063,0.9982751889194608,0.0587081526520381,1
