rho,method,alpha,median_first_ipr,p10_first_ipr,p90_first_ipr,correct_rate
0.25,softmax,2.5,91.09793244077522,90.32464917173296,91.73416084661922,
0.25,softmax,2.75,88.74054463563797,87.78304949996947,89.46585997797149,
0.25,softmax,3.0,85.91895087941629,84.81925111792705,86.80232991918585,0.0
0.25,softmax,3.25,82.65467101833846,81.41079917386955,83.75135306016433,
0.25,softmax,3.5,79.05322836415169,77.62030468993032,80.29412938627016,
0.25,softmax,3.75,75.18649644601082,73.42020503674388,76.44065005259297,
0.25,softmax,4.0,70.85731989017957,68.83993839245227,72.19512833746677,0.0
0.25,softmax,4.5,61.06078042167957,58.8059904316946,62.74926135476007,
0.25,softmax,5.0,50.778359937130546,48.81713867872952,52.75114043396905,
0.25,softmax,5.5,40.85806063466882,39.00296189744885,42.677485732460376,
0.25,softmax,6.0,31.81502227810234,30.22957454914992,33.49430371319979,0.0
0.25,softmax,6.5,24.46538420310028,22.865505717671386,25.67082346538115,
0.25,softmax,7.0,18.579165359238935,17.099222592990944,19.419632001921467,
0.25,softmax,7.5,14.049883138651674,12.733729165720362,14.628618171055507,
0.25,softmax,8.0,10.715850441308177,9.547150758217484,11.05047193548667,0.0
0.25,softmax,8.5,8.182245873946908,7.252621510625636,8.45390682115166,
0.25,softmax,9.0,6.3358629739811745,5.607943627612453,6.60763834339774,
0.25,softmax,9.5,4.995777851270124,4.434092730324041,5.268738317711531,
0.25,softmax,10.0,4.0195009988603,3.5913895323558003,4.281046215800914,
0.25,softmax,10.5,3.2967106530681063,2.9702847022154892,3.546300393294168,
0.25,softmax,11.0,2.7619721886933846,2.5111294808883917,2.9951871214089905,
0.25,softmax,11.5,2.363541218642396,2.1694256777542225,2.577957219228023,
0.25,softmax,12.0,2.063706927858254,1.9124270607305789,2.2590017267880977,1.0
0.25,softmax,13.0,1.6618331896107752,1.5688724283823212,1.8148975608500428,
0.25,softmax,14.0,1.4256034990507973,1.3616562275479112,1.5372610366893074,
0.25,softmax,15.0,1.2760095501448396,1.2339364150195267,1.361967140983765,
0.25,softmax,16.0,1.1836086019603214,1.1534627776977322,1.2503943670484605,
0.25,softmax,17.0,1.1228460030426386,1.101809586385325,1.1768643931180047,
0.25,softmax,18.0,1.0825771735089604,1.0681702888458318,1.126724415889774,
0.25,softmax,19.0,1.0559238843343772,1.0460067582821155,1.0919371694421265,
0.25,softmax,20.0,1.0384659730199335,1.031264008573153,1.067435035179523,
0.25,softmax,21.0,1.0264916380745555,1.0213776232349785,1.0491709243749718,
0.25,softmax,22.0,1.0182241594577452,1.014700749093261,1.0362683578046499,
0.25,softmax,23.0,1.012589069378245,1.010101593125889,1.0269849833999716,
0.25,softmax,24.0,1.0087297601715148,1.0069294863599352,1.0202095855732112,
0.25,softmax,26.0,1.00424229124507,1.0032888805673976,1.011533262736661,
0.25,softmax,28.0,1.0021218867370376,1.0015785606259393,1.0067135057786027,
0.25,softmax,30.0,1.001074597521838,1.00076519088106,1.0039727172693549,
0.25,softmax,32.0,1.0005502428625954,1.0003742049551516,1.0023831049593683,
0.25,softmax,36.0,1.0001483980416053,1.000091574289795,1.0008852826759909,
0.25,softmax,40.0,1.000041279829837,1.000023407114787,1.0003392282095287,
0.25,softmax,48.0,1.0000036523090539,1.0000017401288996,1.0000527365935676,
0.25,sparsemax,0.05,80.36359754784993,78.67940727539967,82.00292987744272,
0.25,sparsemax,0.1,55.824803475711384,53.07705685430329,57.702668537090574,
0.25,sparsemax,0.15,40.958361733791634,38.466025091753416,42.94228341710036,
0.25,sparsemax,0.2,32.075912620471264,29.850512826541106,33.52047887210274,
0.25,sparsemax,0.25,25.818432766826376,23.82737733434626,27.120049431106473,0.0
0.25,sparsemax,0.3,21.35756127482255,19.46554864624964,22.645427609972575,
0.25,sparsemax,0.35,18.14137488803091,16.421824232825564,19.193394805030554,
0.25,sparsemax,0.4,15.520293594466072,14.011268188698795,16.521894398897985,
0.25,sparsemax,0.45,13.47805432285536,12.251796314180684,14.413238818257755,
0.25,sparsemax,0.5,11.870061500568784,10.989954310496383,12.73271754412655,0.0
0.25,sparsemax,0.6,9.593383533540162,8.950260230972393,10.11432188961303,
0.25,sparsemax,0.7,7.929906722476147,7.393643822716078,8.2467453093867,
0.25,sparsemax,0.75,7.224968716810446,6.770468675701463,7.546306359477485,0.0
0.25,sparsemax,0.8,6.604330975418044,6.210926817078884,6.947447346180995,
0.25,sparsemax,0.9,5.605668178456842,5.336473545174118,5.899999780297838,
0.25,sparsemax,1.0,4.889398247119386,4.609385673430219,5.080754994733963,0.0
0.25,sparsemax,1.1,4.277499098410643,4.062658047820788,4.438305030989755,
0.25,sparsemax,1.2,3.786343148548103,3.6038805022671516,3.94661778387292,
0.25,sparsemax,1.3,3.383091246369846,3.21984695632809,3.5887349774506005,
0.25,sparsemax,1.4,3.070297966867587,2.921068108416869,3.247042804292134,
0.25,sparsemax,1.5,2.8094936621391247,2.65502005381174,2.9550863397567486,1.0
0.25,sparsemax,1.6,2.5690472703872755,2.4205741219173897,2.745063465690098,
0.25,sparsemax,1.7,2.3582028965769277,2.218234771872686,2.553545910177404,
0.25,sparsemax,1.8,2.172130898108861,2.041799763521484,2.394122931356356,
0.25,sparsemax,1.9,2.020310571823265,1.90038509278989,2.247338679587919,
0.25,sparsemax,2.0,1.8775334566891861,1.7731564415112133,2.113090500969289,1.0
0.25,sparsemax,2.25,1.6094854373940701,1.5206783594785098,1.835757012432665,
0.25,sparsemax,2.5,1.4140351090455505,1.3167271892650474,1.6638823719154974,
0.25,sparsemax,2.75,1.2656017532586101,1.1780604838981166,1.5215931178581878,
0.25,sparsemax,3.0,1.168282943525385,1.0644490644490645,1.4161226826978321,1.0
0.25,sparsemax,3.25,1.089615269510857,1.0,1.3096605971628046,
0.25,sparsemax,3.5,1.0157470551766894,1.0,1.2412786649010785,
0.25,sparsemax,3.75,1.0,1.0,1.1753732863886055,
0.25,sparsemax,4.0,1.0,1.0,1.1122550733170202,1.0
0.25,sparsemax,4.5,1.0,1.0,1.0110229386236826,
0.25,sparsemax,5.0,1.0,1.0,1.0,
0.25,sparsemax,5.5,1.0,1.0,1.0,
0.25,sparsemax,6.0,1.0,1.0,1.0,1.0
0.25,sparsemax,6.5,1.0,1.0,1.0,
0.25,sparsemax,7.0,1.0,1.0,1.0,
