condition_index,condition_id,seed,delta,v,true_boundary_u,true_normal_u,true_normal_v,sign_transitions
5,delta-0.30_seed005,5,-0.3,0.19999999999999996,0.40916490014933515,0.969534703549466,0.24495399285018607,1
5,delta-0.30_seed005,5,-0.3,0.24999999999999994,0.39607884919678327,0.9663915996040232,0.25707445655836186,1
5,delta-0.30_seed005,5,-0.3,0.3,0.3825634213426383,0.9653540831405073,0.26094346928779516,1
6,delta-0.30_seed006,6,-0.3,-0.3,0.37761210968892556,0.963617367589858,-0.26728555680992616,1
6,delta-0.30_seed006,6,-0.3,-0.25,0.39148097329598386,0.9633109780443906,-0.2683877038523926,1
6,delta-0.30_seed006,6,-0.3,-0.2,0.4054730715142796,0.9643373399999488,-0.26467620724542534,1
6,delta-0.30_seed006,6,-0.3,-0.15,0.4189274068485247,0.9693395743348014,-0.24572502849409963,1
6,delta-0.30_seed006,6,-0.3,-0.1,0.43082280807720963,0.9795328176971008,-0.20128452263991475,1
6,delta-0.30_seed006,6,-0.3,-0.05000000000000002,0.4394764399185078,0.9929649456966922,-0.11840868472187702,1
6,delta-0.30_seed006,6,-0.3,0.0,0.4427475678821793,0.9999998507921012,0.000546274450589848,1
6,delta-0.30_seed006,6,-0.3,0.04999999999999999,0.439421812465298,0.9925088436627711,0.12217280896823529,1
6,delta-0.30_seed006,6,-0.3,0.09999999999999998,0.4304380746470997,0.9773784605987734,0.21149785993615183,1
6,delta-0.30_seed006,6,-0.3,0.14999999999999997,0.41778251218784135,0.964498464063057,0.2640884564308029,1
6,delta-0.30_seed006,6,-0.3,0.19999999999999996,0.4030571646435419,0.9564440673281787,0.2919156489000382,1
6,delta-0.30_seed006,6,-0.3,0.24999999999999994,0.38726157961355057,0.9523725575614976,0.30493689774078137,1
6,delta-0.30_seed006,6,-0.3,0.3,0.3710385081503773,0.9511845413245271,0.3086226957714693,1
7,delta-0.30_seed007,7,-0.3,-0.3,0.3803024604712846,0.9614186852085054,-0.2750892795656508,1
7,delta-0.30_seed007,7,-0.3,-0.25,0.3946088851225795,0.9627301293052559,-0.27046385734120787,1
7,delta-0.30_seed007,7,-0.3,-0.2,0.4083958844857989,0.9665529627571273,-0.2564670937672492,1
7,delta-0.30_seed007,7,-0.3,-0.15,0.421143084866344,0.9731234642895558,-0.23028400563020812,1
7,delta-0.30_seed007,7,-0.3,-0.1,0.4320603026280878,0.9829722039667975,-0.1837543094151986,1
7,delta-0.30_seed007,7,-0.3,-0.05000000000000002,0.4398368290712824,0.9943375782951287,-0.10626749451350899,1
7,delta-0.30_seed007,7,-0.3,0.0,0.4427475678821793,0.9999998473179643,0.000552597545931622,1
7,delta-0.30_seed007,7,-0.3,0.04999999999999999,0.4397815693082521,0.9939245719090086,0.11006336972623593,1
7,delta-0.30_seed007,7,-0.3,0.09999999999999998,0.4316739539644914,0.981096379525622,0.19351975114110873,1
7,delta-0.30_seed007,7,-0.3,0.14999999999999997,0.42005672318919096,0.9692867152660153,0.24593345361869512,1
7,delta-0.30_seed007,7,-0.3,0.19999999999999996,0.40630133204103913,0.9611311786588742,0.27609211761620994,1
7,delta-0.30_seed007,7,-0.3,0.24999999999999994,0.3913309754716465,0.9566069362500008,0.29138148451538065,1
7,delta-0.30_seed007,7,-0.3,0.3,0.3758414353505941,0.9552138244315895,0.29591645715434023,1
8,delta-0.15_seed000,0,-0.15,-0.3,0.45056163349363487,0.9940732428869162,-0.10871240856631921,1
8,delta-0.15_seed000,0,-0.15,-0.25,0.45602966159640346,0.9943484701024196,-0.10616553115290102,1
8,delta-0.15_seed000,0,-0.15,-0.2,0.4612385273940163,0.9952335152894103,-0.09752051089223815,1
8,delta-0.15_seed000,0,-0.15,-0.15,0.4658284183096839,0.9965561337141718,-0.08292088010062192,1
8,delta-0.15_seed000,0,-0.15,-0.1,0.4695592709322227,0.9979572998385035,-0.06388448715489138,1
8,delta-0.15_seed000,0,-0.15,-0.05000000000000002,0.4722299434215529,0.99929325539998,-0.03758975541434403,1
8,delta-0.15_seed000,0,-0.15,0.0,0.47332090498821344,0.9999969315374705,0.0024772798879913573,1
8,delta-0.15_seed000,0,-0.15,0.04999999999999999,0.47198221467260737,0.9985840285182926,0.05319716146729673,1
8,delta-0.15_seed000,0,-0.15,0.09999999999999998,0.46799364559410606,0.9949835777089931,0.10003839307691885,1
8,delta-0.15_seed000,0,-0.15,0.14999999999999997,0.4619279388716677,0.9910956770783472,0.13315163865537816,1
8,delta-0.15_seed000,0,-0.15,0.19999999999999996,0.4545588540058816,0.9883990984519332,0.15187897214362997,1
8,delta-0.15_seed000,0,-0.15,0.24999999999999994,0.44656178036530036,0.9868286146296645,0.16176923486280329,1
8,delta-0.15_seed000,0,-0.15,0.3,0.43816601410799194,0.9861935066158616,0.1655970033204423,1
9,delta-0.15_seed001,1,-0.15,-0.3,0.4412461354077095,0.9896329882153772,-0.1436194577204048,1
9,delta-0.15_seed001,1,-0.15,-0.25,0.44850233338365797,0.9899746683064004,-0.14124502154636415,1
9,delta-0.15_seed001,1,-0.15,-0.2,0.45551367437292356,0.9909846866672627,-0.13397518722131888,1
9,delta-0.15_seed001,1,-0.15,-0.15,0.4620217337360373,0.9927182999185908,-0.12045902625682667,1
9,delta-0.15_seed001,1,-0.15,-0.1,0.4676479350455338,0.995306583932695,-0.0967719173119425,1
9,delta-0.15_seed001,1,-0.15,-0.05000000000000002,0.4717445587302791,0.9983947441605653,-0.05663863374552204,1
9,delta-0.15_seed001,1,-0.15,0.0,0.47332090498821344,0.9999999101935496,0.00042380761274385886,1
9,delta-0.15_seed001,1,-0.15,0.04999999999999999,0.47170217796519864,0.998261375771895,0.05894256222801535,1
9,delta-0.15_seed001,1,-0.15,0.09999999999999998,0.4674163830204634,0.9948945380768685,0.10092005799054224,1
9,delta-0.15_seed001,1,-0.15,0.14999999999999997,0.4615583834092831,0.9922988735538023,0.1238666441938875,1
9,delta-0.15_seed001,1,-0.15,0.19999999999999996,0.4549335870106006,0.9910023257264544,0.13384465026573977,1
9,delta-0.15_seed001,1,-0.15,0.24999999999999994,0.44805239590641577,0.990726248245718,0.13587310637857616,1
9,delta-0.15_seed001,1,-0.15,0.3,0.4412190915463725,0.9907900069088426,0.13540739348194955,1
