cue_index,memory_seed,target,rho,mask_index,level,target_ipr,softmax_alpha,sparsemax_alpha,softmax_achieved_ipr,sparsemax_achieved_ipr,pair_relative_error,pair_status,included
6,4,21,0.1,0,high,64.0,2.757006668099618,0.06538951252667935,63.99999999999997,64.00000000000009,1.7763568394002497e-15,matched,True
7,4,23,0.1,0,low,4.0,5.797005942882037,0.6497119502887985,3.9999999999999982,3.9999999999999982,0.0,matched,True
7,4,23,0.1,0,middle,16.0,4.307299507785727,0.2646516430319862,15.999999999999986,16.00000000000001,1.5543122344752194e-15,matched,True
7,4,23,0.1,0,high,64.0,2.7268703133741585,0.06733133747971545,64.0,64.00000000000009,1.332267629550187e-15,matched,True
8,4,26,0.1,0,low,4.0,5.88388183249619,0.6548364072560464,3.9999999999999973,3.9999999999999982,2.2204460492503146e-16,matched,True
8,4,26,0.1,0,middle,16.0,4.3626630803022,0.2544662139377721,15.99999999999999,15.999999999999996,4.440892098500628e-16,matched,True
8,4,26,0.1,0,high,64.0,2.74935054444179,0.06630785596536048,63.999999999999986,63.99999999999983,2.442490654175348e-15,matched,True
9,4,27,0.1,0,low,4.0,5.715581482425776,0.6247675161763113,3.9999999999999982,4.000000000000004,1.5543122344752186e-15,matched,True
9,4,27,0.1,0,middle,16.0,4.240316624436189,0.2549642554137775,16.0,16.000000000000064,3.996802888650556e-15,matched,True
9,4,27,0.1,0,high,64.0,2.675907052566697,0.0651845723875134,64.00000000000001,63.999999999999815,3.1086244689504427e-15,matched,True
10,4,34,0.1,0,low,4.0,6.005424090538389,0.6621603042726623,4.000000000000001,4.000000000000001,0.0,matched,True
10,4,34,0.1,0,middle,16.0,4.447755102121201,0.261089443044237,16.000000000000004,16.00000000000001,4.440892098500624e-16,matched,True
10,4,34,0.1,0,high,64.0,2.795332948859051,0.06588875365672475,63.999999999999986,64.00000000000003,6.661338147750939e-16,matched,True
11,4,37,0.1,0,low,4.0,5.837936876980887,0.6564879518897748,4.000000000000001,3.9999999999999982,6.66133814775094e-16,matched,True
11,4,37,0.1,0,middle,16.0,4.323889354419462,0.25117342680043764,16.000000000000007,16.000000000000025,1.1102230246251556e-15,matched,True
11,4,37,0.1,0,high,64.0,2.718379529558609,0.06360389981627258,63.99999999999997,64.00000000000006,1.3322676295501877e-15,matched,True
12,4,38,0.1,0,low,4.0,5.935087370651484,0.6521016451684192,4.000000000000004,3.999999999999999,1.3322676295501873e-15,matched,True
12,4,38,0.1,0,middle,16.0,4.393203594699692,0.24702330966560293,16.000000000000014,15.999999999999986,1.7763568394002505e-15,matched,True
12,4,38,0.1,0,high,64.0,2.7601130013518063,0.06511601494368782,64.0,64.00000000000001,2.220446049250313e-16,matched,True
13,4,42,0.1,0,low,4.0,6.002303401632406,0.6805045845121942,4.000000000000001,4.000000000000003,4.440892098500624e-16,matched,True
